id,status,enrolid,userid,timestart,timeend,modifierid,timecreated,timemodified
70,0,46,29247,0,2147483647,15577,0,0
71,0,46,15577,0,2147483647,15577,0,0
72,0,43,29243,0,2147483647,16355,0,0
73,0,43,16355,0,2147483647,16355,0,0
74,0,46,29243,0,2147483647,16355,0,0
75,0,46,16355,0,2147483647,16355,0,0
76,0,40,29250,0,2147483647,17191,0,0
77,0,40,17191,0,2147483647,17191,0,0
78,0,40,29242,0,2147483647,15522,0,0
79,0,40,15522,0,2147483647,15522,0,0
80,0,46,29250,0,2147483647,17191,0,0
81,0,46,17191,0,2147483647,17191,0,0
82,0,46,29255,0,2147483647,16844,0,0
83,0,46,16844,0,2147483647,16844,0,0
84,0,40,29256,0,2147483647,15455,0,0
85,0,40,15455,0,2147483647,15455,0,0
86,0,43,29250,0,2147483647,17191,0,0
87,0,43,17191,0,2147483647,17191,0,0
88,0,46,29231,0,2147483647,17009,0,0
89,0,46,17009,0,2147483647,17009,0,0
90,0,40,29263,0,2147483647,15533,0,0
91,0,40,15533,0,2147483647,15533,0,0
92,0,43,29266,0,2147483647,16408,0,0
93,0,43,16408,0,2147483647,16408,0,0
94,0,40,29272,0,2147483647,14719,0,0
95,0,40,14719,0,2147483647,14719,0,0
96,0,40,29273,0,2147483647,15563,0,0
97,0,40,15563,0,2147483647,15563,0,0
98,0,46,29272,0,2147483647,14719,0,0
99,0,46,14719,0,2147483647,14719,0,0
100,0,40,29275,0,2147483647,15578,0,0
101,0,40,15578,0,2147483647,15578,0,0
102,0,43,29278,0,2147483647,15710,0,0
103,0,43,15710,0,2147483647,15710,0,0
104,0,46,29274,0,2147483647,15693,0,0
105,0,46,15693,0,2147483647,15693,0,0
106,0,40,29288,0,2147483647,14960,0,0
107,0,40,14960,0,2147483647,14960,0,0
108,0,46,29294,0,2147483647,15903,0,0
109,0,46,15903,0,2147483647,15903,0,0
110,0,43,29300,0,2147483647,16596,0,0
111,0,43,16596,0,2147483647,16596,0,0
112,0,139,29272,0,2147483647,14719,0,0
113,0,139,14719,0,2147483647,14719,0,0
114,0,46,29305,0,2147483647,14919,0,0
115,0,46,14919,0,2147483647,14919,0,0
116,0,40,29298,0,2147483647,15877,0,0
117,0,40,15877,0,2147483647,15877,0,0
118,0,40,29307,0,2147483647,16126,0,0
119,0,40,16126,0,2147483647,16126,0,0
120,0,46,29310,0,2147483647,14792,0,0
121,0,46,14792,0,2147483647,14792,0,0
122,0,46,29307,0,2147483647,16126,0,0
123,0,46,16126,0,2147483647,16126,0,0
124,0,40,29320,0,2147483647,14354,0,0
125,0,40,14354,0,2147483647,14354,0,0
126,0,43,29324,0,2147483647,15502,0,0
127,0,43,15502,0,2147483647,15502,0,0
128,0,46,29330,0,2147483647,16996,0,0
129,0,46,16996,0,2147483647,16996,0,0
130,0,46,29331,0,2147483647,16063,0,0
131,0,46,16063,0,2147483647,16063,0,0
132,0,40,29322,0,2147483647,15527,0,0
133,0,40,15527,0,2147483647,15527,0,0
134,0,40,29343,0,2147483647,16851,0,0
135,0,40,16851,0,2147483647,16851,0,0
136,0,40,29355,0,2147483647,15298,0,0
137,0,40,15298,0,2147483647,15298,0,0
138,0,46,29355,0,2147483647,15298,0,0
139,0,46,15298,0,2147483647,15298,0,0
140,0,40,29361,0,2147483647,15782,0,0
141,0,40,15782,0,2147483647,15782,0,0
142,0,46,29359,0,2147483647,14880,0,0
143,0,46,14880,0,2147483647,14880,0,0
144,0,40,29360,0,2147483647,17007,0,0
145,0,40,17007,0,2147483647,17007,0,0
146,0,40,29358,0,2147483647,15048,0,0
147,0,40,15048,0,2147483647,15048,0,0
148,0,46,29358,0,2147483647,15048,0,0
149,0,46,15048,0,2147483647,15048,0,0
150,0,43,29367,0,2147483647,14330,0,0
151,0,43,14330,0,2147483647,14330,0,0
152,0,46,29361,0,2147483647,15782,0,0
153,0,46,15782,0,2147483647,15782,0,0
154,0,46,29380,0,2147483647,15261,0,0
155,0,46,15261,0,2147483647,15261,0,0
156,0,46,29383,0,2147483647,15713,0,0
157,0,46,15713,0,2147483647,15713,0,0
158,0,40,29383,0,2147483647,15713,0,0
159,0,40,15713,0,2147483647,15713,0,0
160,0,46,29387,0,2147483647,16043,0,0
161,0,46,16043,0,2147483647,16043,0,0
162,0,40,29388,0,2147483647,15715,0,0
163,0,40,15715,0,2147483647,15715,0,0
164,0,43,29394,0,2147483647,15324,0,0
165,0,43,15324,0,2147483647,15324,0,0
166,0,46,29381,0,2147483647,14330,0,0
