id,learner_userid,course_cat_id,course_id,module_id,activity_id,active,type,timecreated,timemodified
121,29270,17,17,0,0,1,learning,"2022-05-05 18:28:20","2022-05-05 18:28:20"
122,29545,17,16,0,0,1,learning,"2022-05-05 22:30:09","2022-05-05 22:30:09"
123,29545,17,16,0,0,1,learning,"2022-05-05 22:36:39","2022-05-05 22:36:39"
124,29553,17,16,0,0,1,learning,"2022-05-05 22:46:23","2022-05-05 22:46:23"
125,29555,17,17,0,0,1,learning,"2022-05-05 22:52:59","2022-05-05 22:52:59"
126,29556,17,17,0,0,1,learning,"2022-05-05 22:53:01","2022-05-05 22:53:01"
128,29595,17,17,0,0,1,learning,"2022-05-05 23:15:50","2022-05-05 23:15:50"
129,29595,17,25,0,0,1,learning,"2022-05-05 23:16:40","2022-05-05 23:16:40"
130,29578,17,16,0,0,1,learning,"2022-05-05 23:17:10","2022-05-05 23:17:10"
131,29578,17,16,0,0,1,learning,"2022-05-05 23:19:26","2022-05-05 23:19:26"
132,29578,17,16,0,0,1,learning,"2022-05-05 23:19:35","2022-05-05 23:19:35"
133,29578,17,16,0,0,1,learning,"2022-05-05 23:19:35","2022-05-05 23:19:35"
134,29578,17,16,0,0,1,learning,"2022-05-05 23:22:59","2022-05-05 23:22:59"
135,29546,18,64,0,0,1,learning,"2022-05-05 23:28:59","2022-05-05 23:28:59"
139,29609,17,16,0,0,1,learning,"2022-05-05 23:37:56","2022-05-05 23:37:56"
140,29590,17,16,0,0,1,learning,"2022-05-05 23:39:11","2022-05-05 23:39:11"
141,29602,17,16,0,0,1,learning,"2022-05-05 23:39:18","2022-05-05 23:39:18"
142,29596,17,16,0,0,1,learning,"2022-05-05 23:39:19","2022-05-05 23:39:19"
143,29588,17,16,0,0,1,learning,"2022-05-05 23:39:22","2022-05-05 23:39:22"
144,29606,17,16,0,0,1,learning,"2022-05-05 23:39:27","2022-05-05 23:39:27"
145,29603,17,16,0,0,1,learning,"2022-05-05 23:39:28","2022-05-05 23:39:28"
146,29580,17,16,0,0,1,learning,"2022-05-05 23:39:28","2022-05-05 23:39:28"
147,29598,17,16,0,0,1,learning,"2022-05-05 23:39:28","2022-05-05 23:39:28"
148,29612,17,16,0,0,1,learning,"2022-05-05 23:39:29","2022-05-05 23:39:29"
149,29273,17,17,0,0,1,learning,"2022-05-05 23:39:59","2022-05-05 23:39:59"
150,29584,17,16,0,0,1,learning,"2022-05-05 23:40:09","2022-05-05 23:40:09"
151,29609,17,16,0,0,1,learning,"2022-05-05 23:40:20","2022-05-05 23:40:20"
152,29598,17,17,0,0,1,learning,"2022-05-05 23:40:40","2022-05-05 23:40:40"
153,29600,17,16,0,0,1,learning,"2022-05-05 23:40:58","2022-05-05 23:40:58"
154,29609,17,16,0,0,1,learning,"2022-05-05 23:41:01","2022-05-05 23:41:01"
155,29580,17,16,0,0,1,learning,"2022-05-05 23:41:04","2022-05-05 23:41:04"
156,29598,17,16,0,0,1,learning,"2022-05-05 23:41:14","2022-05-05 23:41:14"
157,29596,17,16,0,0,1,learning,"2022-05-05 23:41:51","2022-05-05 23:41:51"
158,29606,17,16,0,0,1,learning,"2022-05-05 23:42:13","2022-05-05 23:42:13"
159,29606,17,16,0,0,1,learning,"2022-05-05 23:42:13","2022-05-05 23:42:13"
160,29602,17,16,0,0,1,learning,"2022-05-05 23:43:03","2022-05-05 23:43:03"
161,29616,17,17,0,0,1,learning,"2022-05-05 23:43:37","2022-05-05 23:43:37"
162,29609,17,16,0,0,1,learning,"2022-05-05 23:43:45","2022-05-05 23:43:45"
163,29616,17,16,0,0,1,learning,"2022-05-05 23:43:45","2022-05-05 23:43:45"
164,29584,17,16,0,0,1,learning,"2022-05-05 23:43:52","2022-05-05 23:43:52"
165,29596,17,16,0,0,1,learning,"2022-05-05 23:43:52","2022-05-05 23:43:52"
166,29590,17,16,0,0,1,learning,"2022-05-05 23:44:04","2022-05-05 23:44:04"
